id,fecha,modulo,descripcion,rol_usuario,sede
1573,6/13/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Quito
1574,5/7/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Ambato
1575,4/13/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito
1576,9/4/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Cuenca
1577,11/18/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Manta
1578,3/26/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Ambato
1579,6/6/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca
1580,7/18/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Medico,Ambato
1581,5/11/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Cuenca
1582,10/23/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 24s,Farmacia,Quito
1583,7/15/2025,Laboratorio,Retraso de 35s en la disponibilidad de resultados criticos,Enfermeria,Guayaquil
1584,11/2/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Quito
1585,11/7/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Medico,Ambato
1586,11/7/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Ambato
1587,7/22/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Guayaquil
1588,8/16/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Quito
1589,4/6/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Quito
1590,6/30/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Manta
1591,3/26/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Quito
1592,8/22/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Paciente,Quito
1593,9/22/2025,Facturacion,Retraso de 26s al procesar el pago con tarjeta de credito,Paciente,Cuenca
1594,9/22/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Paciente,Manta
1595,12/6/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Medico,Quito
1596,7/7/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Enfermeria,Manta
1597,6/10/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Quito
1598,9/6/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 19s,Farmacia,Cuenca
1599,3/31/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito
1600,10/7/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Cuenca
1601,7/5/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Cuenca
1602,10/1/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 34s,Enfermeria,Guayaquil
1603,6/8/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Paciente,Quito
1604,7/5/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Cuenca
1605,6/15/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Medico,Quito
1606,6/14/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 21s,Enfermeria,Quito
1607,7/30/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Quito
1608,10/15/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Medico,Quito
1609,7/23/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Cuenca
1610,1/8/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Ambato
1611,2/6/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Enfermeria,Guayaquil
1612,3/27/2025,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Enfermeria,Cuenca
1613,7/21/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Ambato
1614,9/25/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Guayaquil
1615,2/5/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Quito
1616,5/22/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Guayaquil
1617,1/19/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito
1618,5/22/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Ambato
1619,7/5/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Cuenca
1620,6/17/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Guayaquil
1621,9/16/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Cuenca
1622,10/4/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Cuenca
1623,9/30/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Guayaquil
1624,10/24/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Guayaquil
1625,9/17/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Quito
1626,2/16/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Admision,Quito
1627,12/9/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Medico,Guayaquil
1628,5/10/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Ambato
1629,11/14/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Guayaquil
1630,5/26/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Cuenca
1631,4/13/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Cuenca
1632,1/13/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato
1633,11/26/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Enfermeria,Quito
1634,6/7/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Guayaquil
1635,8/22/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Cuenca
1636,8/31/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Quito
1637,3/8/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Manta
1638,12/4/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Guayaquil
1639,7/17/2025,HCE,Tiempo de carga de la ficha clinica supera los 33s en horas pico,Medico,Cuenca
1640,10/28/2025,HCE,Nota de evolucion tarda 15s en guardarse,Enfermeria,Quito
1641,1/24/2025,Facturacion,Error de calculo en el copago del seguro medico,Admision,Quito
1642,11/25/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Ambato
1643,2/21/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Quito
1644,10/28/2025,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 27s,Paciente,Manta
1645,7/25/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Ambato
1646,3/15/2025,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 28s,Paciente,Cuenca
1647,4/29/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Cuenca
1648,2/19/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Cuenca
1649,7/26/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Ambato
1650,1/23/2025,Portal Citas,Usuario no logra agendar tras 5 intentos,Paciente,Ambato
1651,3/16/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Guayaquil
1652,7/16/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Cuenca
1653,10/16/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Quito
1654,7/24/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Cuenca
1655,3/5/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Quito
1656,9/25/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Cuenca
1657,7/9/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Quito
1658,10/24/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Admision,Ambato
1659,12/17/2025,Reportes Gerenciales,El dashboard de indicadores no refleja los datos del ultimo cierre,Gerencia,Quito
1660,10/23/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 28s,Farmacia,Guayaquil
1661,12/16/2025,Telemedicina,Videollamada se corta a los 2 minutos,Paciente,Manta
1662,6/1/2025,HCE,Nota de evolucion tarda 28s en guardarse,Enfermeria,Ambato
1663,6/17/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Quito
1664,11/17/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Guayaquil
1665,10/4/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito
1666,5/4/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Guayaquil
1667,6/11/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Guayaquil
1668,3/25/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Admision,Guayaquil
1669,9/24/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Cuenca
1670,1/8/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Cuenca
1671,12/19/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Cuenca
1672,1/16/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Cuenca
1673,2/6/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Cuenca
1674,1/9/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Quito
1675,9/20/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito
1676,5/12/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 12s,Enfermeria,Manta
1677,2/19/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Admision,Cuenca
1678,4/27/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Guayaquil
1679,11/17/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Ambato
1680,12/5/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito
1681,9/5/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Medico,Cuenca
1682,10/27/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Guayaquil
1683,7/7/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Quito
1684,7/8/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Quito
1685,7/15/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Ambato
1686,7/17/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Quito
1687,1/27/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca
1688,8/31/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Ambato
1689,7/28/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Quito
1690,8/15/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Manta
1691,5/4/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito
1692,4/22/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Quito
1693,9/26/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Quito
1694,8/29/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Quito
1695,8/21/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Enfermeria,Ambato
1696,9/2/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Quito
1697,8/30/2025,Facturacion,Retraso de 29s al procesar el pago con tarjeta de credito,Admision,Guayaquil
1698,11/7/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Guayaquil
1699,1/23/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito
1700,11/4/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Cuenca
1701,3/14/2025,Facturacion,Factura duplicada al reintentar pago,Admision,Guayaquil
1702,1/14/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Cuenca
1703,9/3/2025,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 11s,Paciente,Guayaquil
1704,8/30/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Cuenca
1705,7/29/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito
1706,3/25/2025,HCE,Nota de evolucion tarda 33s en guardarse,Enfermeria,Cuenca
1707,8/22/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Quito
1708,8/3/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Quito
1709,1/31/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Manta
1710,7/30/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito
1711,7/29/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Ambato
1712,2/7/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Manta
1713,7/13/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Ambato
1714,10/14/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Guayaquil
1715,5/12/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Cuenca
1716,2/8/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Guayaquil
1717,6/18/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 30s,Farmacia,Cuenca
1718,6/17/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil
1719,7/30/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Manta
1720,7/5/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Manta
1721,4/22/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Admision,Ambato
1722,8/5/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Enfermeria,Quito
1723,8/13/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Guayaquil
1724,7/10/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Admision,Cuenca
1725,5/9/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Ambato
1726,2/4/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Guayaquil
1727,10/16/2025,Telemedicina,Videollamada se corta a los 5 minutos,Paciente,Quito
1728,5/9/2025,Portal Citas,Tiempo de espera en el portal supera los 11s en horas pico,Paciente,Ambato
1729,1/14/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito
1730,2/8/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Manta
1731,6/21/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Paciente,Quito
1732,11/17/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Quito
1733,9/15/2025,HCE,Tiempo de carga de la ficha clinica supera los 19s en horas pico,Enfermeria,Quito
1734,3/21/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Cuenca
1735,2/7/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Guayaquil
1736,8/21/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Quito
1737,1/8/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca
1738,5/14/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito
1739,1/14/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Cuenca
1740,4/10/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Quito
1741,2/2/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Manta
1742,6/12/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Ambato
1743,6/1/2025,Facturacion,El sistema no permite anular una factura emitida por error,Paciente,Quito
1744,1/17/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito
1745,9/2/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Ambato
1746,9/6/2025,Facturacion,Error de calculo en el copago del seguro medico,Admision,Quito
1747,8/4/2025,HCE,Tiempo de carga de la ficha clinica supera los 31s en horas pico,Medico,Guayaquil
1748,8/23/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil
1749,8/28/2025,HCE,Tiempo de carga de la ficha clinica supera los 11s en horas pico,Enfermeria,Quito
1750,9/25/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Quito
1751,5/29/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Cuenca
1752,10/1/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Guayaquil
1753,8/8/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Medico,Quito
1754,3/2/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Quito
1755,8/28/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Guayaquil
1756,2/25/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Paciente,Cuenca
1757,8/30/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Medico,Ambato
1758,6/25/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Manta
1759,6/27/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Enfermeria,Quito
1760,4/28/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Cuenca
1761,7/1/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Manta
1762,7/31/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Quito
1763,3/20/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Ambato
1764,6/8/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil
1765,6/14/2025,HCE,Nota de evolucion tarda 14s en guardarse,Enfermeria,Cuenca
1766,10/9/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Ambato
1767,6/25/2025,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Guayaquil
1768,1/15/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito
1769,8/26/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Cuenca
1770,11/21/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Ambato
1771,7/1/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Quito
1772,8/18/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Cuenca
1773,3/6/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito
1774,3/10/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Paciente,Guayaquil
1775,4/25/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Quito
1776,11/24/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Quito
1777,4/7/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Quito
1778,10/16/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Cuenca
1779,7/6/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Quito
1780,8/26/2025,HCE,Nota de evolucion tarda 25s en guardarse,Medico,Quito
1781,3/12/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Medico,Quito
1782,9/21/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Medico,Cuenca
1783,3/27/2025,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Quito
1784,11/6/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Guayaquil
1785,8/26/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Manta
1786,1/2/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Quito
1787,6/14/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Ambato
1788,5/7/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Manta
1789,8/13/2025,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Quito
1790,4/10/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Cuenca
1791,8/15/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Guayaquil
1792,4/13/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Guayaquil
1793,7/17/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Guayaquil
1794,7/21/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Quito
1795,9/3/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Medico,Ambato
1796,10/12/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Admision,Manta
1797,7/25/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Manta
1798,4/5/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Guayaquil
1799,6/16/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Paciente,Manta
1800,10/10/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil
1801,5/12/2025,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Paciente,Cuenca
1802,7/6/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Quito
1803,9/12/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Quito
1804,3/14/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Quito
1805,2/25/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito
1806,4/10/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Ambato
1807,11/20/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Ambato
1808,1/30/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Cuenca
1809,8/27/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Quito
1810,3/4/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito
1811,5/1/2025,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Guayaquil
1812,4/4/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Manta
1813,11/16/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Medico,Cuenca
1814,1/13/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Ambato
1815,10/16/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Cuenca
1816,11/28/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Quito
1817,12/10/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Ambato
1818,10/25/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Cuenca
1819,4/20/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Medico,Quito
1820,10/15/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Manta
1821,2/13/2025,Portal Citas,Tiempo de espera en el portal supera los 17s en horas pico,Admision,Quito
1822,10/29/2025,Facturacion,Error de calculo en el copago del seguro medico,Admision,Quito
1823,5/23/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Quito
1824,8/19/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Guayaquil
1825,12/3/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Paciente,Quito
1826,10/21/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Admision,Quito
1827,9/1/2025,Farmacia,El sistema bloquea la dispensacion sin mostrar el motivo,Enfermeria,Guayaquil
1828,11/6/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Cuenca
1829,9/18/2025,Reportes Gerenciales,Exportacion a Excel del reporte gerencial falla de forma intermitente,Gerencia,Guayaquil
1830,8/27/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Quito
1831,11/28/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Cuenca
1832,3/26/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Cuenca
1833,2/2/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Enfermeria,Guayaquil
1834,7/17/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Manta
1835,6/11/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Quito
1836,9/30/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 35s,Enfermeria,Quito
1837,3/28/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Quito
1838,10/12/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Guayaquil
1839,2/28/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Quito
1840,10/24/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Guayaquil
1841,3/6/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Ambato
1842,4/13/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 29s,Enfermeria,Cuenca
1843,6/1/2025,Facturacion,El sistema no permite anular una factura emitida por error,Admision,Guayaquil
1844,4/19/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Medico,Cuenca
1845,5/3/2025,Facturacion,Retraso de 33s al procesar el pago con tarjeta de credito,Admision,Guayaquil
1846,1/27/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Medico,Manta
1847,8/2/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Manta
1848,4/26/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Quito
1849,7/17/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito
1850,5/20/2025,Portal Citas,Tiempo de espera en el portal supera los 12s en horas pico,Paciente,Quito
